,Diagnosis
Concave_points_worst,0.7935660171412694
Perimeter_worst,0.7829141371737594
Concave_points_mean,0.7766138400204371
Radius_worst,0.7764537785950396
Perimeter_mean,0.7426355297258334
Area_worst,0.7338250349210504
Radius_mean,0.7300285113754563
Area_mean,0.7089838365853902
Concavity_mean,0.6963597071719052
Concavity_worst,0.6596102103692332
Compactness_mean,0.5965336775082527
Compactness_worst,0.5909982378417918
Radius_se,0.5671338208247175
Perimeter_se,0.5561407034314831
Area_se,0.5482359402780241
Texture_worst,0.4569028213967985
Smoothness_worst,0.4214648610664026
Symmetry_worst,0.4162943110486197
Texture_mean,0.41518529984520475
Concave_points_se,0.4080423327165051
Smoothness_mean,0.35855996508593324
Symmetry_mean,0.33049855426254676
Fractal_dimension_worst,0.32387218872082474
Compactness_se,0.2929992442488586
Concavity_se,0.2537297659808307
Fractal_dimension_se,0.07797241739025584
Symmetry_se,-0.006521755870647806
Texture_se,-0.008303332973877035
Fractal_dimension_mean,-0.012837602698431882
Smoothness_se,-0.0670160105794875
